movie_id,actor_id,actor_name,character,popularity
1426822,1529621,Reece Presley,Sam,0.2981
1314481,5064,Meryl Streep,Miranda Priestly,7.5152
1314481,1813,Anne Hathaway,Andy Sachs,26.3067
1314481,5081,Emily Blunt,Emily,11.6691
1314481,2283,Stanley Tucci,Nigel,7.1212
1314481,15009,Justin Theroux,Benji Barnes,4.8917
1290821,976,Jason Statham,Mason,16.4218
1290821,4088089,Bodhi Rae Breathnach,Jesse,1.6685
1290821,1537686,Naomi Ackie,Roberta,1.2139
1290821,1670,Daniel Mays,Booth,2.664
1290821,17477,Harriet Walter,Prime Minister Fordham,1.8884
980431,1610783,Eric Nam,Aang (voice),0.9606
980431,543530,Dave Bautista,Tagah (voice),5.9391
980431,1703912,Jessica Matten,Katara (voice),1.2934
980431,2775164,Román Zaragoza,Sokka (voice),0.7535
980431,215055,Steven Yeun,Zuko (voice),3.1982
1038918,1106204,Shin'ya Ohwada,,1.6476
1038918,1853586,Ayako Takaishi,,1.0698
1038918,1014843,Kyōko Aizome,,2.5565
1311031,1256603,Natsuki Hanae,Tanjiro Kamado (voice),2.6167
1311031,9705,Takahiro Sakurai,Giyu Tomioka (voice),2.7584
1311031,81244,Akira Ishida,Akaza (voice),3.3132
1311031,119145,Hiro Shimono,Zenitsu Agatsuma (voice),2.1176
1311031,1253008,Yoshimasa Hosoya,Kaigaku (voice),2.3406
1084242,417,Ginnifer Goodwin,Judy Hopps (voice),2.791
1084242,23532,Jason Bateman,Nick Wilde (voice),4.6299
1084242,690,Ke Huy Quan,Gary De'Snake (voice),3.9058
1084242,1183672,Fortune Feimster,Nibbles Maplestick (voice),1.138
1084242,62861,Andy Samberg,Pawbert Lynxley (voice),3.9599
1235192,3272460,Caitlin McWethy,Jess,0.045
1235192,5321687,Rachel Ryu,Kara,0.0193
1235192,2395462,Emily Soppe,Rose,0.0445
1235192,2967101,Maggie Lou Rader,Alice,0.0414
1235192,4683879,A.J. Baldwin,Dudette,0.0872
1510745,1476624,Jaime M. Callica,Officer Jackson,0.4656
1510745,169747,Sean Rogerson,Officer Bryce,0.4464
1510745,77622,Catherine Lough Haggquist,Ally Jackson,0.6688
1510745,3536923,Angel Prater,Esposito,0.172
1510745,42710,Keegan Connor Tracy,The Mother,1.6183
249397,4273,Charlotte Gainsbourg,Joe,2.4041
249397,1640,Stellan Skarsgård,Seligman,3.5164
249397,1137823,Stacy Martin,Young Joe,1.6792
249397,10959,Shia LaBeouf,Jerôme,3.3118
249397,5293,Willem Dafoe,L,4.2279
1242898,18050,Elle Fanning,Thia / Tessa,18.8666
1242898,3223391,Dimitrius Schuster-Koloamatangi,Dek / Father,0.5067
1242898,1891826,Ravi Narayan,Bud,0.1909
1242898,2253146,Michael Homick,Kwei (Suit),0.3504
1242898,1636658,Stefan Grube,Kwei (voice),0.5483
1325734,505710,Zendaya,Emma Harwood,9.4773
1325734,11288,Robert Pattinson,Charlie Thompson,5.7134
1325734,1639848,Mamoudou Athie,Mike,1.393
1325734,1741367,Alana Haim,Rachel,2.198
1325734,2482808,Jordyn Curet,Young Emma,0.5944
755898,9778,Ice Cube,William Radford,2.5469
755898,52605,Eva Longoria,NASA Scientist Sandra Salas,2.7506
755898,9048,Clark Gregg,NSA Director Donald Briggs,1.9039
755898,1632530,Iman Benson,Faith Radford,0.4652
755898,60482,Henry Hunter Hall,David Radford,0.5389
855435,2340185,Barbie Ferreira,Margot Romero,2.2033
855435,1525047,Dacre Montgomery,Arthur Spevak,1.9237
855435,1520451,Josie Totah,Samantha Gravinsky,1.1139
855435,3057748,Aaron Holliday,Ryan,0.4001
855435,1488960,Jermaine Fowler,Josh,1.1679
1414413,2628,Kiefer Sutherland,Capt. Jordan Wright,4.3297
1414413,2088733,Tommy Martinez,Alberto,0.6372
1414413,1152019,Ashton Sanders,Carson,0.8828
1414413,3060978,Solly McLeod,Danny,0.6409
1414413,1652056,Laura Osma,Isabella,0.6335
510657,15293,Keisha Castle-Hughes,Deputy Gracie Marsh,1.3681
510657,101847,Lance E. Nichols,Sheriff Bradley,0.8473
510657,1049795,Camille Balsamo,Laura Harper,0.0906
510657,1446479,Reid Collums,Nick Harper,0.109
510657,1995250,Siena D'Addario,Victoria,0.0518
1419406,18897,Jackie Chan,Wong Tak Chung,17.1208
1419406,1173805,Zhang Zifeng,He Qiuguo,1.9863
1419406,56861,Tony Leung Ka-fai,Fu Longsheng,3.3315
1419406,3167855,Ci Sha,Xi Meng / Xi Wang,5.4345
1419406,1625880,Jun,Hu Feng,1.3658
1171145,74568,Chris Hemsworth,Davis,10.7456
1171145,103,Mark Ruffalo,Lou,4.287
1171145,4587,Halle Berry,Sharon,8.9991
1171145,1290466,Barry Keoghan,Ormon,3.104
1171145,1525043,Monica Barbaro,Maya,3.5252
1579,17678,Rudy Youngblood,Jaguar Paw,1.5076
1579,17688,Raoul Max Trujillo,Zero Wolf,1.4528
1579,17689,Gerardo Taracena,Middle Eye,0.6652
1579,42009,Iazua Larios,Sky Flower,1.7422
1579,62477,Antonio Monroy,Chilam,0.2004
1368166,115440,Sydney Sweeney,Millie Calloway,37.013
1368166,71070,Amanda Seyfried,Nina Winchester,8.1321
1368166,1855143,Brandon Sklenar,Andrew Winchester,3.6991
1368166,2349355,Michele Morrone,Enzo,8.2048
1368166,20,Elizabeth Perkins,Mrs. Winchester,2.7414
840464,17276,Gerard Butler,John Garrity,6.9461
840464,54882,Morena Baccarin,Allison Garrity,10.8912
840464,2054851,Roman Griffin Davis,Nathan Garrity,0.9541
840464,1754784,Tommie Earl Jenkins,General Sharpe,0.4481
840464,85151,Trond Fausa Aurvåg,Adam Shaw,0.8127
157336,10297,Matthew McConaughey,Cooper,6.8028
157336,1813,Anne Hathaway,Brand,26.3067
157336,3895,Michael Caine,Professor Brand,2.9838
157336,83002,Jessica Chastain,Murph,4.9084
157336,1893,Casey Affleck,Tom,3.1486
7451,12835,Vin Diesel,Xander Cage,8.8937
7451,18514,Asia Argento,Yelena,4.0108
7451,20982,Marton Csokas,Yorgi,2.4518
7451,2231,Samuel L. Jackson,Agent Augustus Gibbons,8.3132
7451,53347,Michael Roof,Agent Toby Lee Shavers,0.3591
1301421,6968,Hugh Jackman,George Hardy,6.6301
1301421,15886,Julia Louis-Dreyfus,Lily (voice),2.9493
1301421,7056,Emma Thompson,Lydia Harbottle,8.5097
1301421,85139,Nicholas Braun,Tim Derry,1.7359
1301421,1425934,Nicholas Galitzine,Elliot Matthews,5.7187
440249,44936,Ginger Lynn,Self - Former Porn Star,0.0
440249,108562,Lisa Ann,Self - Former Porn Star,0.0
440249,75926,Janine Lindemulder,Self - Former Porn Star,0.0
440249,544069,Chasey Lain,Self - Former Porn Star,0.0
440249,228692,Tabitha Stevens,Self - Former Porn Star,0.0
1173559,3692778,Stephanie Leet,Monica Duvalier,0.0667
1173559,3979383,Neil Green,Andre Duvalier,0.0281
1173559,3503484,Chynna Rae Shurts,Mary,0.1313
